Country,year,New_cases,New_deaths
Brazil,2020,7563551,192681
Brazil,2021,14700283,426136
Brazil,2022,11440559,58987
France,2020,2564972,64004
France,2021,6917610,56958
France,2022,23285870,27500
Germany,2020,1734998,50323
Germany,2021,5431876,67628
Germany,2022,23620435,25904
India,2020,10266674,148738
India,2021,24572130,332342
India,2022,9140926,45178
Italy,2020,2083689,73604
Italy,2021,3897739,63643
Italy,2022,14916631,34391
Republic of Korea,2020,60722,900
Republic of Korea,2021,570113,4663
Republic of Korea,2022,18989682,19429
Russian Federation,2020,3159297,57019
Russian Federation,2021,7340685,251841
Russian Federation,2022,8076991,73492
The United Kingdom,2020,2566258,75201
The United Kingdom,2021,10877784,74592
The United Kingdom,2022,9860889,34160
Turkey,2020,2194272,20642
Turkey,2021,7247492,61556
Turkey,2022,6082307,16986
United States of America,2020,19582032,352081
United States of America,2021,33968577,466985
United States of America,2022,36253179,199604
